dedicated_area,deposit,rent,new_construction,cvs_distance,station_distance,hospital_distance,suitability
72.5242,17000,0,1,255,7193,11447,0
62.2475,2000,45,1,255,7193,11447,0
72.5242,16000,0,1,255,7193,11447,0
72.5242,100,55,1,255,7193,11447,0
72.5242,2000,55,1,255,7193,11447,0
51.8094,1000,40,1,289,7168,11405,0
52.9148,11000,0,1,289,7168,11405,0
71.3035,1000,50,1,289,7168,11405,0
36.63,3456,17,1,231,569,2151,1
16.8,1530,7,1,231,569,2151,1
36.63,3048,19,1,231,569,2151,1
39.5072,13900,0,1,283,463,2251,0
61.7036,21000,0,1,283,463,2251,0
61.7036,22000,0,1,283,463,2251,0
44.0091,16000,0,1,283,463,2251,0
61.7036,21100,0,1,283,463,2251,0
61.7036,22400,0,1,283,463,2251,0
61.5977,22500,0,1,283,463,2251,0
61.7036,22800,0,1,283,463,2251,0
44.0091,500,30,1,283,463,2251,1
40.9155,500,50,1,283,463,2251,1
61.5977,19950,0,1,283,463,2251,0
39.5072,14100,0,1,283,463,2251,0
68.7078,10000,40,1,357,282,5171,0
52.1206,16000,0,1,357,282,5171,0
54.5245,15500,0,1,357,282,5171,0
52.1206,3000,55,1,357,282,5171,0
54.5245,17000,0,1,357,282,5171,0
66.1588,20700,0,1,330,590,5700,0
78.4977,25000,0,1,330,590,5700,0
65.798,20500,0,1,330,590,5700,0
79.2821,24200,0,1,330,590,5700,0
68.0071,21900,0,1,330,590,5700,0
64.2717,19200,0,1,330,590,5700,0
33.5989,11300,0,1,330,590,5700,0
78.4977,23100,0,1,330,590,5700,0
79.34,24700,0,1,330,590,5700,0
64.2717,20400,0,1,330,590,5700,0
33.5989,11700,0,1,330,590,5700,0
33.5989,11900,0,1,330,590,5700,0
79.2821,25800,0,1,330,590,5700,0
66.1588,21500,0,1,330,590,5700,0
79.2821,26200,0,1,330,590,5700,0
66.9538,20300,0,1,330,590,5700,0
33.5989,11600,0,1,330,590,5700,0
71.345,22600,0,1,330,590,5700,0
79.34,23700,0,1,330,590,5700,0
79.34,23300,0,1,330,590,5700,0
32.3376,11200,0,1,330,590,5700,0
79.2821,24800,0,1,330,590,5700,0
79.34,24100,0,1,330,590,5700,0
78.4977,32000,0,1,330,590,5700,0
68.0071,5000,63,1,330,590,5700,0
68.0071,1000,77,1,330,590,5700,0
66.9538,10000,70,1,330,590,5700,0
63.7289,25000,0,1,330,590,5700,0
64.8538,12000,0,1,330,590,5700,0
32.3376,1000,35,1,330,590,5700,0
79.34,1000,103,1,330,590,5700,0
87.983,2000,61,1,210,4867,9512,0
87.985,17400,0,1,210,4867,9512,0
87.985,34000,0,1,210,4867,9512,0
87.985,2000,100,1,210,4867,9512,0
98.967,3000,100,1,210,4867,9512,0
87.852,35000,0,1,210,4867,9512,0
87.852,5000,80,1,210,4867,9512,0
87.985,3000,100,1,210,4867,9512,0
87.852,18000,0,1,210,4867,9512,0
87.852,33000,0,1,210,4867,9512,0
87.985,35000,0,1,210,4867,9512,0
87.983,30000,0,1,210,4867,9512,0
87.852,19000,0,1,210,4867,9512,0
87.852,37000,0,1,210,4867,9512,0
87.985,18900,0,1,210,4867,9512,0
87.852,19950,0,1,210,4867,9512,0
87.985,22050,0,1,210,4867,9512,0
87.852,36000,0,1,210,4867,9512,0
98.973,2000,100,1,210,4867,9512,0
98.973,10000,100,1,210,4867,9512,0
98.967,30000,0,1,210,4867,9512,0
87.852,40000,0,1,210,4867,9512,0
87.985,41000,0,1,210,4867,9512,0
98.973,45000,0,1,210,4867,9512,0
87.985,43500,0,1,210,4867,9512,0
87.985,5000,130,1,210,4867,9512,0
87.985,25000,50,1,210,4867,9512,0
98.969,5000,135,1,210,4867,9512,0
98.969,30000,30,1,210,4867,9512,0
87.985,2000,85,1,210,4867,9512,0
87.985,4000,65,1,210,4867,9512,0
87.852,22000,0,1,210,4867,9512,0
87.985,39000,0,1,210,4867,9512,0
98.969,45000,0,1,210,4867,9512,0
87.983,5000,120,1,210,4867,9512,0
87.852,21000,65,1,210,4867,9512,0
87.852,29400,0,1,210,4867,9512,0
98.967,44000,0,1,210,4867,9512,0
87.983,5000,130,1,210,4867,9512,0
87.852,40500,0,1,210,4867,9512,0
87.852,3000,80,1,210,4867,9512,0
87.985,5000,120,1,210,4867,9512,0
87.985,3000,84,1,210,4867,9512,0
133.77,35000,0,0,388,5744,10468,0
101.92,5000,80,0,388,5744,10468,0
101.96,5000,90,0,388,5744,10468,0
101.96,22000,0,0,388,5744,10468,0
84.99,27000,0,0,388,5744,10468,0
84.97,28000,0,0,388,5744,10468,0
84.97,26000,0,0,388,5744,10468,0
101.96,35000,0,0,388,5744,10468,0
84.97,16000,0,0,388,5744,10468,0
101.92,3000,95,0,388,5744,10468,0
133.77,29400,0,0,388,5744,10468,0
149.87,8000,0,0,388,5744,10468,0
84.97,29000,0,0,388,5744,10468,0
133.77,20000,0,0,388,5744,10468,0
101.96,25000,0,0,388,5744,10468,0
84.97,1000,58,0,388,5744,10468,0
101.92,2000,100,0,388,5744,10468,0
101.96,25000,20,0,388,5744,10468,0
84.97,3000,80,0,388,5744,10468,0
84.97,36000,0,0,388,5744,10468,0
114.49,3000,110,0,388,5744,10468,0
84.97,22000,0,0,388,5744,10468,0
133.77,42000,0,0,388,5744,10468,0
133.77,43000,0,0,388,5744,10468,0
133.77,40000,0,0,388,5744,10468,0
84.97,2000,70,0,388,5744,10468,0
84.97,35000,0,0,388,5744,10468,0
84.99,32000,0,0,388,5744,10468,0
101.96,30000,0,0,388,5744,10468,0
101.96,37000,0,0,388,5744,10468,0
84.97,31000,0,0,388,5744,10468,0
133.77,45000,0,0,388,5744,10468,0
84.97,17850,0,0,388,5744,10468,0
84.97,30000,0,0,388,5744,10468,0
149.87,36750,0,0,388,5744,10468,0
84.97,16800,0,0,388,5744,10468,0
101.92,30000,40,0,388,5744,10468,0
101.96,1500,80,0,388,5744,10468,0
101.92,10000,10,0,388,5744,10468,0
101.92,18900,0,0,388,5744,10468,0
84.99,25000,0,0,388,5744,10468,0
84.97,5000,80,0,388,5744,10468,0
133.77,27000,0,0,388,5744,10468,0
114.49,5000,110,0,388,5744,10468,0
101.92,25000,40,0,388,5744,10468,0
101.96,3000,100,0,388,5744,10468,0
101.96,39500,0,0,388,5744,10468,0
114.49,24885,0,0,388,5744,10468,0
84.97,24000,0,0,388,5744,10468,0
101.99,5000,150,0,388,5744,10468,0
59.9774,1000,65,1,252,3814,8276,0
59.9774,19140,9,1,252,3814,8276,0
59.9774,9570,43,1,252,3814,8276,0
59.8908,19140,9,1,252,3814,8276,0
59.9583,19140,9,1,252,3814,8276,0
59.9774,19140,0,1,252,3814,8276,0
59.7268,19130,0,1,252,3814,8276,0
59.9583,19140,0,1,252,3814,8276,0
59.7268,19130,9,1,252,3814,8276,0
59.8908,19130,0,1,252,3814,8276,0
59.8908,19140,0,1,252,3814,8276,0
59.9774,1000,80,1,252,3814,8276,0
84.997,37000,0,1,278,5139,9794,0
84.9584,36000,0,1,278,5139,9794,0
84.9584,2500,100,1,278,5139,9794,0
84.997,36000,0,1,278,5139,9794,0
84.997,35000,0,1,278,5139,9794,0
84.9584,1000,105,1,278,5139,9794,0
84.997,3000,100,1,278,5139,9794,0
84.9584,3000,90,1,278,5139,9794,0
80.7864,20000,40,1,278,5139,9794,0
84.997,5000,90,1,278,5139,9794,0
84.9584,37000,0,1,278,5139,9794,0
80.7864,5000,100,1,278,5139,9794,0
84.997,41000,0,1,278,5139,9794,0
84.997,5000,100,1,278,5139,9794,0
84.997,4000,100,1,278,5139,9794,0
84.9584,20000,60,1,278,5139,9794,0
99.9247,54000,0,1,278,5139,9794,0
99.9247,48000,0,1,278,5139,9794,0
84.9584,43000,0,1,278,5139,9794,0
84.9584,40000,0,1,278,5139,9794,0
99.9247,50000,0,1,278,5139,9794,0
84.997,40000,0,1,278,5139,9794,0
84.997,48000,0,1,278,5139,9794,0
84.9584,20000,70,1,278,5139,9794,0
84.997,46500,0,1,278,5139,9794,0
80.7864,3000,110,1,278,5139,9794,0
84.997,45000,0,1,278,5139,9794,0
84.997,3000,120,1,278,5139,9794,0
113.9349,64000,0,1,278,5139,9794,0
84.9584,3000,100,1,278,5139,9794,0
84.9584,41000,0,1,278,5139,9794,0
84.997,5000,150,1,278,5139,9794,0
84.9584,42000,0,1,278,5139,9794,0
80.7864,42000,0,1,278,5139,9794,0
99.9247,30000,40,1,278,5139,9794,0
84.9584,5000,110,1,278,5139,9794,0
113.9349,5000,160,1,278,5139,9794,0
84.997,29400,0,1,278,5139,9794,0
84.997,42000,0,1,278,5139,9794,0
113.9349,50000,0,1,278,5139,9794,0
84.9584,2000,130,1,278,5139,9794,0
84.997,10000,100,1,278,5139,9794,0
84.997,2800,110,1,278,5139,9794,0
84.9584,3000,120,1,278,5139,9794,0
84.997,3000,110,1,278,5139,9794,0
84.997,5000,130,1,278,5139,9794,0
80.7864,37000,0,1,278,5139,9794,0
84.9584,36000,0,1,265,5146,9870,0
84.997,20000,45,1,265,5146,9870,0
84.997,38000,0,1,265,5146,9870,0
84.997,3000,100,1,265,5146,9870,0
84.9584,40000,0,1,265,5146,9870,0
84.997,5000,100,1,265,5146,9870,0
80.7864,37000,0,1,265,5146,9870,0
113.9349,53000,0,1,265,5146,9870,0
84.997,41000,0,1,265,5146,9870,0
84.997,35000,0,1,265,5146,9870,0
80.7864,39000,0,1,265,5146,9870,0
84.997,45000,0,1,265,5146,9870,0
113.9349,40000,0,1,265,5146,9870,0
80.7864,40000,0,1,265,5146,9870,0
113.9349,10000,150,1,265,5146,9870,0
84.9584,2000,120,1,265,5146,9870,0
